사업명,부품관리번호,재고번호,군급분류,품명,도면번호,도면부품번호,규격번호,계약업체,최종수정일
K-2 전차,M51076395,375247913,5930.0,"스위치,감응식",20032841,20032841,,삼호정밀,
K-2 전차,M00043805,375076630,3040.0,"축,고각분해기용",60322125,60322125,,현대로템 주식회사,
K-2 전차,M00043807,375076717,5365.0,"스페이서,판형",60322128,60322128,,현대로템 주식회사,
K-2 전차,M00043808,375076725,5365.0,"스페이서,슬리브형",60322147,60322147,,덕인산업,2021-06-14
K-2 전차,M00043829,375013492,5365.0,"스페이서,판형",60701230,60701230,,덕인산업,2021-06-14
K-2 전차,M00044005,375220304,5340.0,"클램프,루프형",61506039,61506039,,용진H&C,
K-2 전차,M00044006,375220306,5340.0,"클램프,루프형",61506040,61506040,,용진H&C,
K-2 전차,M00039958,375265688,4730.0,"클램프,호스용",61506029,61506029-1,,용진H&C,
K-2 전차,M00042675,375166439,5820.0,"수신기-송신기,무전기용",61508801,61508801,,인소팩주식회사,
K-2 전차,M00042645,375212695,8140.0,"상자,탄약용",61509002,61509002,,주식회사 경성엠티,
K-2 전차,M00049339,375018174,5360.0,"스프링,나선형,인장용",60701569,60701569,,현대로템 주식회사,
K-2 전차,M00049341,375018777,5305.0,"나사,기계용",60701574,60701574,,태창정밀,
K-2 전차,M51317334,375018212,1005.0,판,60701568,60701568,,현대로템 주식회사,
K-2 전차,M51369784,375235845,1010.0,"덮개 조립체,보호용",61509015,61509015,,평화정밀,2021-06-14
K-2 전차,M51369785,375235846,1010.0,"덮개 조립체,보호용",61509016,61509016,,평화정밀,2021-06-14
K-2 전차,M51369786,375235848,5340.0,"브래킷,이중각형",61509017,61509017,,현대로템 주식회사,
K-2 전차,M51369789,375235856,3120.0,"롤러,직선-회전 운동용",61509021,61509021,,현대로템 주식회사,
K-2 전차,M00042647,375212696,1005.0,"홈통,사출용",61509050,61509050,,현대로템 주식회사,
K-2 전차,M00042650,375212715,1005.0,"브래킷,설치용",61509080,61509080,,주식회사 종한,
K-2 전차,M51317253,375011702,5340.0,"걸쇠,조임용",60701487,60701487,,현대로템 주식회사,
K-2 전차,M00043810,375076917,7690.0,데칼,60323062,60323062,,현대로템 주식회사,
K-2 전차,M00042658,375212719,1005.0,"구동유니트,전망포탑 회전용",61509202,61509202,,덕인산업,2021-06-14
K-2 전차,M00042660,375212704,5340.0,"고정기,스프링용",61509204,61509204,,현대로템 주식회사,
K-2 전차,M00042661,375212717,1005.0,"장치대,기관총용",61509205,61509205,,현대로템 주식회사,
K-2 전차,M00042663,375212706,1005.0,"장치대,기관총용",61509230,61509230,,현대로템 주식회사,
K-2 전차,M51369877,375235730,5315.0,"핀,잠금용",61509260,61509260,,주식회사 경성엠티,
K-2 전차,M51369879,375235732,9510.0,"바,금속제",61509265,61509265,,현대로템 주식회사,
K-2 전차,M51369881,375235739,5360.0,"스프링,나선형,비틀림용",61509267,61509267,,(주)서부에스코,
K-2 전차,M51369882,375235740,5315.0,"핀,직선형,유두형",61509268,61509268,,덕인산업,2021-06-14
K-2 전차,M00042664,375212707,1005.0,"백,탄피용",61509300,61509300,,현대로템 주식회사,
K-2 전차,M00043539,375025035,1005.0,조임쇠 조립체,60071105,60071105,,현대로템 주식회사,
K-2 전차,M00043543,375025040,1005.0,조임쇠 조립체,60071109,60071109,,현대로템 주식회사,
K-2 전차,M00043947,375011577,1005.0,"보호기,스케이트 설치용",60701765,60701765,,현대로템 주식회사,
K-2 전차,M51345522,375013680,5310.0,"와셔,평면형",60799301,60799310,,태창정밀,
K-2 전차,M51895257,37A148835,5330.0,봉합재,MS51001,MS51001-10-2,,덕인산업,2021-06-14
K-2 전차,M51896725,37A148836,2590.0,봉합재,MS51920,MS51920-8-2,,주식회사오미테크,
K-2 전차,M00042666,375187383,1010.0,"덮개 조립체,보호용",61509420,61509420,,평화정밀,2021-06-14
K-2 전차,M00042668,375187387,1040.0,"유탄발사기,연막,역대책용",61509501,61509501,,에스앤티중공업 주식회사,
