번호,국가,제목,등록일자
370,모로코,"[해외방산시장동향] 모로코, 지상대공미사일 구매 관련 BNP Paribas와 수출금융 계약",2020-05-29
371,독일,[해외입찰정보] 독일 방탄조끼,2020-05-22
372,인도,[해외입찰정보] 인도 실험용 풍향 테스트 카메라,2020-05-22
373,필리핀,[해외입찰정보] 인도 연구용 고순도 실리콘,2020-05-22
374,필리핀,[해외입찰정보] 필리핀 경찰용 호송용 차량,2020-05-22
375,루마니아,[해외입찰정보] 루마니아 지휘 및 연락 차량,2020-05-22
376,체코,[해외입찰정보] 체코 군용 헬멧,2020-05-22
377,체코,[해외입찰정보] 체코 전투 시뮬레이터,2020-05-22
378,독일,[해외입찰정보] 독일 특수전 차량,2020-05-22
379,포르투갈,[해외입찰정보] 포르투갈 군복,2020-05-22
380,칠레,[해외입찰정보] 특수기동대 전술 헬멧,2020-05-22
381,파라과이,[해외입찰정보] 파라과이 치안유지용 방패,2020-05-22
382,방글라데시,[해외입찰정보] 방글라데시 육군 훈련탄,2020-05-22
383,방글라데시,[해외입찰정보] 방글라데시 항공기 발연기,2020-05-22
384,베트남,[해외입찰정보] 베트남 문서 보존용 종이,2020-05-22
385,몰타,[해외입찰정보] 몰타 개인용 보호장비,2020-05-18
386,이탈리아,[해외입찰정보] 이탈리아 군용 탄약,2020-05-18
387,스페인,[해외입찰정보] 스페인 작업복,2020-05-18
388,스페인,[해외입찰정보] 스페인 방호복,2020-05-18
389,라트비아,[해외입찰정보] 라트비아 개인용 장구류,2020-05-18
390,프랑스,[해외입찰정보] 프랑스 비디오 감시 시스템,2020-05-18
391,필리핀,[해외입찰정보] 필리핀 해군 25mm 탄약,2020-05-15
392,필리핀,[해외입찰정보] 필리핀 해군 76mm 탄약,2020-05-15
393,필리핀,[해외입찰정보] 필리핀 치안유지용 수갑,2020-05-15
394,싱가포르,[해외입찰정보] 싱가포르 실험용 공기 포집기,2020-05-15
395,네팔,[해외입찰정보] 네팔 치안유지장비,2020-05-15
396,필리핀,[해외입찰정보] 필리핀 경찰용 9mm 탄약,2020-05-15
397,필리핀,[해외입찰정보] 필리핀 해군 선체부착기뢰,2020-05-15
398,브라질,"[해외입찰정보] 브라질 치얀유지용 샷건, 화염방사기 등",2020-05-08
399,인도네시아,[해외방산시장동향] 인도네시아의 방산업체 군수품 관련 계약 지연 지적,2020-05-08
400,필리핀,[해외입찰정보] 필리핀 경찰용 5.56mm 탄창,2020-05-08
401,독일,[해외입찰정보] 독일 병력 수송 장갑차,2020-05-08
402,필리핀,[해외입찰정보] 필리핀 경찰용 5.56mm 탄약,2020-05-08
403,싱가포르,[해외방산시장동향] 싱가포르 공군 비행복,2020-05-08
404,싱가포르,[해외입찰정보] 싱가포르 함정 수리용 부속,2020-05-08
405,인도,[해외입찰정보] 인도 위장용 더미 탱크,2020-05-08
406,포르투갈,[해외입찰정보] 포르투갈 군복,2020-05-08
407,독일,[해외입찰정보] 독일 전투 장비,2020-05-08
408,폴란드,[해외입찰정보] 폴란드 군용 헬멧,2020-05-08
409,오스트리아,[해외입찰정보] 오스트리아 탄약,2020-05-08
410,불가리아,[해외입찰정보] 폴란드 방독면,2020-05-08
411,방글라데시,[해외입찰정보] 방글라데시 군 통신용 광케이블,2020-04-29
412,필리핀,[해외입찰정보] 필리핀 마닐라 치안유지용 5.56mm 탄약,2020-04-29
413,필리핀,[해외입찰정보] 필리핀 마닐라 치안유지용 5.56mm 소총,2020-04-29
414,필리핀,[해외입찰정보] 필리핀 마닐라 치안유지용 45구경 소총,2020-04-29
415,필리핀,"[해외입찰정보] 필리핀 지방정부 치안유지용 탄약, 귀마개, 표적",2020-04-29
416,스웨덴,"[해외입찰정보] 스웨덴 보안, 소방, 경찰 및 방위 장구류(경찰용 헬멧)",2020-04-29
417,방글라데시,[해외입찰정보] 방글라데시 해군 훈련용 시뮬레이터,2020-04-29
418,방글라데시,[해외입찰정보] 방글라데시 공군용 야간투시경,2020-04-29
419,벨기에,[해외입찰정보] 벨기에 경찰 제복,2020-04-29
420,그리스,[해외입찰정보] 그리스 함정용 엔진 및 부품,2020-04-29
421,필리핀,"[해외입찰정보] 필리핀 지방정부 치안유지용 탄약(5.56mm, 9mm, 40mm 등)",2020-04-29
422,불가리아,[해외입찰정보] 불가리아 군함용 부품,2020-04-29
423,슬로베니아,"[해외입찰정보] 슬로베니아 보안, 소방, 경찰 및 방위 장구류(개인 보호 장구)",2020-04-29
424,이탈리아,"[해외입찰정보] 이탈리아 피복, 신발, 수하물 및 부속품",2020-04-29
425,영국,[해외입찰정보] 영국 기관총,2020-04-27
426,리투아니아,[해외입찰정보] 리투아니아 경찰 유니폼,2020-04-27
427,필리핀,[해외입찰정보] 필리핀 경찰용 M4 소총,2020-04-24
428,파키스탄,[해외입찰정보] 파키스탄 76mm 함포,2020-04-24
429,파키스탄,[해외입찰정보] 파키스탄 해군 훈련용 클레이 사격 시스템,2020-04-24
430,방글라데시,[해외입찰정보] 방글라데시 항공기용 23mm AP탄,2020-04-24
431,방글라데시,[해외입찰정보] 방글라데시 항공기용 기관포,2020-04-24
432,방글라데시,[해외입찰정보] 방글라데시 공군용 폭발물처리반 차량,2020-04-24
433,독일,[해외입찰정보] 독일 전자 사격 표적 장치,2020-04-24
434,체코,[해외입찰정보] 체코 탄약,2020-04-24
435,포르투갈,[해외입찰정보] 포르투갈 방호장비,2020-04-24
436,덴마크,[해외입찰정보] 덴마크 방독면,2020-04-24
437,우크라이나,[해외입찰정보] 우크라이나 군용 모자,2020-04-17
438,싱가포르,[해외입찰정보] 싱가포르 해군 함정용 액츄에이터,2020-04-17
439,방글라데시,[해외입찰정보] 해군 정비용 오버헤드 크레인,2020-04-17
440,브라질,[해외입찰정보] 교도관용 12게이지 샷건,2020-04-17
441,독일,[해외입찰정보] 독일 총기 및 탄약 관련 부품,2020-04-17
442,인도,[해외입찰정보] 군차량 패널용 고압력센서,2020-04-17
443,인도,[해외입찰정보] 인도 TBRL(Terminal Ballistic Research Laboratory) 연구용 고전압 축전지,2020-04-17
444,인도,[해외입찰정보] 인도 군 차량용 공기 저장기,2020-04-17
445,스웨덴,[해외입찰정보] 스웨덴 훈련용 비행기,2020-04-17
446,폴란드,[해외입찰정보] 폴란드 군용차량,2020-04-17
447,그리스,[해외입찰정보] 그리스 함정용 엔진 및 엔진 부품,2020-04-17
448,체코,[해외입찰정보] 체코 전자 사격 표적 장치,2020-04-17
449,폴란드,[해외입찰정보] 폴란드 군용 전투복,2020-04-17
450,포르투갈,[해외입찰정보] 포르투갈 초계함 및 순찰보트,2020-04-10
451,라트비아,[해외입찰정보] 라트비아 군복(우의),2020-04-10
452,헝가리,[해외입찰정보] 헝가리 군용 권총 탄약,2020-04-10
453,독일,[해외입찰정보] 독일 경찰 방탄조끼,2020-04-10
454,네덜란드,[해외입찰정보] 네덜란드 해상감시 레이더,2020-04-10
455,필리핀,[해외입찰정보] 필리핀 9mm 권총탄,2020-04-10
456,필리핀,[해외입찰정보] 필리핀 경찰용 5.56mm 소총탄(SS109/M855),2020-04-10
457,리투아니아,[해외입찰정보] 리투아니아 병력 수송 장갑차,2020-04-10
458,벨기에,"[해외입찰정보] 벨기에 군용 총기, 탄약 및 관련 부품",2020-04-10
459,스웨덴,[해외입찰정보] 스웨덴 경찰용 장갑,2020-04-10
460,인도,[해외입찰정보] 인도 육군용 침낭,2020-04-10
461,파키스탄,[해외입찰정보] 파키스탄 해군 훈련용 클레이 사격 시스템,2020-04-10
462,파키스탄,[해외입찰정보] 파키스탄 76mm 함포,2020-04-10
463,필리핀,[해외입찰정보] 필리핀 경찰용 9구경 FMJ(Full Metal Jacket) 권총탄,2020-04-10
464,필리핀,"[해외입찰정보] 필리핀 경찰용 군납품(9mm 권총탄, 소음용 귀마개, 타겟보드)",2020-04-10
465,필리핀,[해외입찰정보] 필리핀 군 및 경찰용 권총탄,2020-04-10
466,키르기스스탄,[해외입찰정보] 키르키즈스탄 12gauge 탄약용 탄약통,2020-04-03
467,인도,[해외입찰정보] 인도 니켈카드뮴 전지 및 부속품,2020-04-03
468,태국,[해외입찰정보] 태국 정부기관용 권총,2020-04-03
469,네팔,"[해외입찰정보] 네팔 육군용 방탄조끼, 방탄방패, 방탄헬멧 등",2020-04-03
470,대만,[해외입찰정보] 대만 군용 0.44인치 권총 탄약,2020-04-03
471,폴란드,[해외입찰정보] 폴란드 조종사복,2020-04-03
472,스리랑카,[해외입찰정보] 스리랑카 육군용 전술 무전기,2020-04-03
473,싱가포르,[해외입찰정보] 싱가포르 군용 전술 권총집,2020-04-03
474,독일,[해외입찰정보] 독일 권총,2020-04-03
475,독일,[해외입찰정보] 독일 방공 레이더,2020-04-03
476,네덜란드,[해외입찰정보] 네덜란드 보호 및 안전 장비,2020-04-03
477,체코,[해외입찰정보] 체코 경찰장비,2020-04-03
478,체코,[해외입찰정보] 체코 보호 및 안전복,2020-04-03
479,포르투갈,[해외입찰정보] 포르투갈 군복,2020-04-03
480,과테말라,[해외입찰정보] 과테말라 헬기용 수리부속품 등,2020-04-01
481,오만,"[해외입찰정보] 오만, 전자식 경찰봉 및 시위진압복",2020-04-01
482,영국,[해외입찰정보] 영국 군함용 부품,2020-03-30
483,폴란드,[해외입찰정보] 폴란드 군용 헬멧,2020-03-30
484,루마니아,[해외입찰정보] 루마니아 군복,2020-03-30
485,독일,[해외입찰정보] 독일 화생방 방호장비,2020-03-30
486,체코,[해외입찰정보] 체코 방탄조끼,2020-03-30
487,독일,[해외입찰정보] 독일 경찰용 벨트,2020-03-30
488,독일,[해외입찰정보] 독일 군용 탄약통(카트리지),2020-03-30
489,독일,[해외입찰정보] 독일 소총,2020-03-30
490,칠레,[해외입찰정보] 칠레 해군 방탄조끼,2020-03-27
491,필리핀,[해외입찰정보] 필리핀 경찰 권총용 5.56mm 탄약,2020-03-27
492,필리핀,[해외입찰정보] 필리핀 정부기관 권총용 9mm 탄약,2020-03-27
493,방글라데시,[해외입찰정보] 방글라데시 해군 12.7mm 기관총 및 거치대,2020-03-27
494,방글라데시,[해외입찰정보] 방글라데시 해군 오버헤드 크레인,2020-03-27
495,스리랑카,[해외입찰정보] 스리랑카 해군 9mm 권총,2020-03-27
496,인도,[해외입찰정보] 인도 정부연구기관용 UAV 및 Drone,2020-03-27
497,방글라데시,[해외입찰정보] 방글라데시 불발탄 보관함,2020-03-20
498,스리랑카,[해외입찰정보] 스리랑카 GPS 세트,2020-03-20
499,방글라데시,[해외입찰정보] 방글라데시 소총용 조준경,2020-03-20
500,방글라데시,[해외입찰정보] 방글라데시 소화기용 7.62x51mm 탄창,2020-03-20
501,폴란드,[해외입찰정보] 폴란드 총기 및 탄약,2020-03-19
502,스페인,[해외입찰정보] 스페인 방탄조끼,2020-03-19
503,폴란드,[해외입찰정보] 폴란드 방탄조끼,2020-03-19
504,슬로베니아,"[해외입찰정보] 슬로베니아 군용 총기, 탄약 및 관련 부품",2020-03-19
505,룩셈부르크,[해외입찰정보] 룩셈부르크 군용 차량 및 관련부품,2020-03-19
506,독일,[해외입찰정보] 독일 군용 수송 헬리콥터,2020-03-19
507,스위스,[해외입찰정보] 스위스 보조차량 및 인원수송장갑차,2020-03-19
508,폴란드,[해외입찰정보] 폴란드 훈련용 비행기,2020-03-13
509,스페인,[해외입찰정보] 스페인 탄약,2020-03-13
510,영국,[해외입찰정보] 영국 화생방 방호장비,2020-03-13
511,방글라데시,"[해외입찰정보] 방글라데시 연습용 수류탄, 조난신호기 등",2020-03-13
512,방글라데시,[해외입찰정보] 방글라데시 폭발물 탐지기,2020-03-13
513,방글라데시,[해외입찰정보] 방글라데시 네비게이션 레이더 시스템,2020-03-13
514,스페인,[해외입찰정보] 스페인 무인항공기,2020-03-13
515,스페인,[해외입찰정보] 폴란드 경찰용 탄약,2020-03-13
516,슬로베니아,"[해외입찰정보] 슬로베니아 군용 총기, 탄약 및 관련부품",2020-03-13
517,독일,[해외입찰정보] 독일 군용 탄약,2020-03-13
518,방글라데시,[해외입찰정보] 방글라데시 항공기용 발연기,2020-03-13
519,싱가포르,[해외입찰정보] 싱가포르 항공기 정비 도구,2020-03-13
520,필리핀,[해외입찰정보] 필리핀 항공기 정비창 장비,2020-03-13
521,핀란드,[해외입찰정보]핀란드 모의전투 시험장비,2020-03-06
522,폴란드,"[해외입찰정보] 폴란드 군용 총기, 탄약 및 관련 부품",2020-03-06
523,프랑스,[해외입찰정보] 프랑스 경찰 보안부대용 모듈식 탄약저장 설비,2020-03-06
524,핀란드,[해외입찰정보] 핀란드 경찰용 탄약,2020-03-06
525,영국,[해외입찰정보] 영국 기관총,2020-03-06
526,필리핀,[해외입찰정보] 해경용 9mm Caliber 권총 246정,2020-03-06
527,방글라데시,[해외입찰정보] 방글라데시 폭발물 제거 슈트(EOD Suit),2020-03-06
528,영국,[해외입찰정보] 영국 무인항공기,2020-03-06
529,체코,[해외입찰정보] 체코 전자사격 표적장치,2020-03-06
530,영국,[해외입찰정보] 영국 경찰 탄약 및 관련부품,2020-03-06
531,방글라데시,[해외입찰정보] 122mm 속사포 탄약통 등,2020-02-28
532,알제리,[해외입찰정보] 알제리 수중 탐지 시뮬레이터,2020-02-28
533,필리핀,[해외입찰정보]  필리핀 고폭탄두 장착 2.27인치 로켓 및 2.75인치 로켓 훈련탄,2020-02-28
534,방글라데시,[해외입찰정보] 디지털 VHF FM 무전기 및 주변기기,2020-02-28
535,필리핀,[해외입찰정보] 필리핀 45구경 Caliber 권총,2020-02-28
536,독일,[해외입찰정보] 독일 경찰장비,2020-02-27
537,영국,[해외입찰정보] 영국 차량용 방탄 유리,2020-02-27
538,덴마크,[해외입찰정보] 덴마크 40mm 예포탄약,2020-02-27
539,리투아니아,[해외입찰정보] 리투아니아 방독면,2020-02-27
540,라트비아,[해외입찰정보] 라트비아 개인 병사용 장구류,2020-02-27
541,프랑스,[해외입찰정보] 프랑스 무인항공기,2020-02-27
542,필리핀,[해외입찰정보] 필리핀 수류탄,2020-02-21
543,방글라데시,[해외입찰정보] 방글라데시 급조폭발물(IED) 전파교란장치,2020-02-21
544,필리핀,[해외입찰정보] 필리핀 권총용 9mm 탄약,2020-02-21
545,체코,[해외입찰정보] 체코 총기 및 탄약,2020-02-21
546,필리핀,[해외입찰정보] 필리핀 105mm 고폭약 탄약통,2020-02-21
547,체코,[해외입찰정보] 체코 모의전투 시험장비,2020-02-21
548,루마니아,[해외입찰정보] 루마니아 모바일 감시장비,2020-02-21
549,영국,[해외입찰정보] 영국 보호 및 안전복,2020-02-21
550,그리스,[해외입찰정보] 그리스 개인 병사용 특수재난 대응 장구류,2020-02-21
551,핀란드,"[해외입찰정보] 핀란드 항공기, 미사일, 우주비행체 모의훈련장비",2020-02-21
552,키프로스,[해외입찰정보] 키프로스 무인항공기,2020-02-21
553,사우디아라비아,"[해외방산시장동향] 사우디, 안전한 군 통신장비 개발을 위한 연구 프로그램 착수",2020-02-21
554,인도,[해외방산시장동향] 인도 전투기 획득 협상 마무리,2020-02-21
555,폴란드,[해외입찰정보] 폴란드 전술 차량용 전기 전자 부품 및 구성품,2020-02-21
556,체코,[해외입찰정보] 체코 총기 및 탄약,2020-02-18
557,체코,[해외입찰정보] 체코 모의 전투 시험장비,2020-02-18
558,인도,인도 방산시장 동향분석 보고서,2020-02-13
559,라트비아,[해외입찰정보] 라트비아 사격표적시스템,2020-02-13
560,미국,미국 방산시장 동향분석 보고서,2020-02-13
561,말레이시아,말레이시아 방산시장 동향분석 보고서,2020-02-13
562,영국,영국 방산시장 동향분석 보고서,2020-02-13
563,스페인,[해외입찰정보] 스페인 방탄의복,2020-02-13
564,방글라데시,[해외입찰정보] 방글라데시 휴대용 금속성분 분석기(,2020-02-13
565,필리핀,"[해외입찰정보] 필리핀 9mm 권총, 12 Gauge 반자동 샷건, M16 소총 등",2020-02-13
566,스웨덴,[해외입찰정보] 스웨덴 출입국 통제 시스템,2020-02-13
567,스페인,[해외입찰정보] 스페인 특수 목적 차량,2020-02-13
568,필리핀,[해외입찰정보] 2000213 필리핀 금속탐지기,2020-02-13
569,방글라데시,[해외입찰정보] 200213 방글라데시 선실형 알루미늄보트 및 아웃보드 엔진,2020-02-13
570,네덜란드,[해외입찰정보] 네덜란드 감시보안시스템,2020-02-12
571,노르웨이,[해외입찰정보] 노르웨이 비상용 조명장비,2020-02-11
572,슬로베니아,[해외입찰정보] 슬로베니아 무기탄약 부품류,2020-02-11
573,체코,[해외입찰정보] 체코 시험용 PRS 메시지 생성기,2020-02-10
574,루마니아,[해외입찰정보] 루마니아 경찰 제복,2020-02-10
575,스페인,[해외입찰정보] 스페인 무인수중차량,2020-02-10
576,루마니아,[해외입찰정보] 루마니아 전투 모의시험장비 시뮬레이터,2020-02-10
577,필리핀,[해외입찰정보] 2000205 필리핀 FA50PH용 서비스 장비,2020-02-06
578,방글라데시,[해외입찰정보] 200205 방글라데시 훈련용 보트,2020-02-06
579,싱가포르,[해외입찰정보] 200205 싱가포르 F15용 수리부속(7종),2020-02-06
580,싱가포르,[해외입찰정보] 200205 싱가포르 치누크용(CH-47) 수리부속 (Rotary Wing Blade Tie Down 등),2020-02-06
581,아이슬란드,[해외입찰정보] 200206 아이슬란드_ 공항장비,2020-02-06
582,아이티,[해외입찰정보] 200205 아이티 CCTV 시스템 설치 및 지원 서비스,2020-02-06
583,필리핀,[해외입찰정보] 2000205 필리핀 자연재해 정찰용 드론,2020-02-06
584,필리핀,"[해외입찰정보] 2000205 필리핀 풀메탈자켓 9mm, 4.5mm 탄약",2020-02-06
585,핀란드,[해외입찰정보] 200206 핀란드_군용 항공 우주 장비 엔진 및 엔진부품,2020-02-06
586,스위스,"[해외입찰정보] 스위스_소방, 구조 및 안전 장비",2020-02-06
587,프랑스,[해외입찰정보] 프랑스_건설현장용 안전 장비,2020-02-06
588,방글라데시,[해외입찰정보] 200205 방글라데시 헬기 수중탈출 훈련 세트장,2020-02-06
589,폴란드,[해외입찰정보] 200205 폴란드 전투훈련장비,2020-02-05
590,폴란드,[해외입찰정보] 200205 폴란드 특수목적차량,2020-02-05
591,독일,[해외입찰정보] 200205 독일 전투장비,2020-02-05
592,에스토니아,[해외입찰정보] 200205 에스토니아 방탄조끼,2020-02-05
593,말레이시아,"[해외입찰정보] 말레이시아, 육군용 이동식 레이더 등",2020-01-30
594,필리핀,"[해외입찰정보] 필리핀, 5.56 x 45mm 소총",2020-01-30
595,방글라데시,"[해외입찰정보] 방글라데시, 함정용 소나체계",2020-01-30
596,스페인,"[해외입찰정보] 스페인, 9mm탄약",2020-01-30
597,루마니아,"[해외입찰정보] 루마니아, 여단 경비대용 외투 및 군 간부용 정장 등",2020-01-30
598,폴란드,"[해외입찰정보] 폴란드, 군 간부용 외투 등",2020-01-30
599,슬로베니아,"[해외입찰정보] 슬로베니아, 탄약 및 부품류",2020-01-30
600,폴란드,[해외입찰정보] 폴란드 군용차량 및 부품 등,2020-01-30
601,불가리아,"[해외입찰정보] 불가리아, 화기류 및 관련 부속품",2020-01-30
602,에콰도르,"[해외입찰정보] 에콰도르, 시위진압용 비살상무기",2020-01-30
603,영국,"[해외입찰정보] 영국, 무인항공기 교육훈련용 재머장비",2020-01-30
604,튀니지,"[해외입찰정보] 튀니지, 신호탄 등",2020-01-21
605,방글라데시,[해외입찰정보] 20200117 155mm 화약통,2020-01-17
606,방글라데시,[해외입찰정보] 20200117 테이저건,2020-01-17
607,방글라데시,[해외입찰정보] 20200117 소나,2020-01-17
608,방글라데시,[해외입찰정보] 20200117 지뢰탐지기,2020-01-17
609,노르웨이,[해외입찰정보] 200109 노르웨이 탄약,2020-01-09
610,독일,[해외입찰정보] 200109 독일 발화엔진,2020-01-09
611,독일,[해외입찰정보] 200109 독일 전투복,2020-01-09
612,프랑스,[해외입찰정보] 191230 프랑스 화재감지 시스템,2019-12-30
613,불가리아,"[해외입찰정보] 191230 불가리아 군용항공기, 미사일",2019-12-30
614,루마니아,[해외입찰정보] 191230 루마니아_겨울용 유지보수 차량,2019-12-30
615,라트비아,[해외입찰정보] 191230 라트비아_자동차,2019-12-30
616,불가리아,[해외입찰정보] 191230 불가리아_철도 유지보수 또는 서비스 차량,2019-12-30
617,미국,[해외입찰정보] 191227 미국 소화기,2019-12-27
618,오스트레일리아,[해외입찰정보] 191227 오스트레일리아 보안카메라 시스템,2019-12-27
619,불가리아,[해외입찰정보] 191227 불가리아 특수차량,2019-12-27
620,벨기에,[해외입찰정보] 191227 벨기에 화재감지 시스템,2019-12-27
621,독일,[해외입찰정보] 191227 독일 수상차량,2019-12-27
622,독일,[해외입찰정보] 191227 독일 일반차량,2019-12-27
623,독일,"[해외입찰정보] 191223 독일_소방, 구난 및 안전 장비",2019-12-23
624,독일,[해외입찰정보] 191223 독일_다양한 종류의 방어장비,2019-12-23
625,스웨덴,[해외입찰정보] 191223 스웨덴_중량 및 경량 자동차용 타이어,2019-12-23
626,독일,[해외입찰정보] 191223 독일_소방차량,2019-12-23
627,독일,[해외입찰정보] 191223 독일_폐기물 차량,2019-12-23
628,프랑스,[해외입찰정보] 191223 프랑스_화재감지 시스템,2019-12-23
629,오스트리아,[해외입찰정보] 191223 오스트리아_군복,2019-12-23
630,독일,[해외입찰정보] 191223 독일_폐기물 수집 차량,2019-12-23
631,네덜란드,"[해외입찰정보] 191223 네덜란드_소방, 구조 및 안전 장비",2019-12-23
632,벨기에,[해외입찰정보] 191223 벨기에_긴급대응 및 안전 장비,2019-12-23
633,독일,[해외입찰정보] 191216 독일 전자잠금보안장비,2019-12-15
634,슬로베니아,[해외입찰정보] 191216 슬로베니아 자동차 부품,2019-12-15
635,영국,[해외입찰정보] 191216 영국 자동차량,2019-12-15
636,스페인,[해외입찰정보] 191216 스페인 자동차량,2019-12-15
637,독일,[해외입찰정보] 191216 독일 보안수송차량,2019-12-15
638,포르투갈,[해외입찰정보] 191216 포르투갈 자동차,2019-12-15
639,라트비아,[해외입찰정보] 191216 라트비아 트레일러,2019-12-15
640,아일랜드,[해외입찰정보] 191216 아일랜드 이동도서관차량,2019-12-15
641,그리스,[해외입찰정보] 191216 그리스 안전설계 서비스,2019-12-15
642,미국,[해외입찰정보] 191212 미국 생존 안전프로그램,2019-12-12
643,인도,글로벌디펜스뉴스-2019.11.28,2019-12-11
644,벨기에,"[해외입찰정보] 191211 벨기에 화기류 부품, 타약 등",2019-12-11
645,핀란드,글로벌디펜스뉴스-2019.12.3,2019-12-11
646,독일,[해외입찰정보] 191211 독일 상용차량,2019-12-11
647,프랑스,[해외입찰정보] 191211 프랑스 특수차량,2019-12-11
648,미국,[해외입찰정보] 191211 미국 군화 및 피복류,2019-12-11
649,벨기에,"[해외방산시장 동향] 191211 유럽_EDA, 방위산업을 위한 &apos;B2B 플랫폼&apos; 출시",2019-12-11
650,아프가니스탄,"[해외방산시장 동향] 191210 191125 아프간, MD-530F 5대 조달",2019-12-10
651,미국,[해외입찰정보] 191210 미국_주 법률 집행용 화기,2019-12-10
652,독일,[해외입찰정보] 191210 독일_구조용 차량,2019-12-10
653,독일,[해외입찰정보] 191210 독일_차량,2019-12-10
654,영국,[해외입찰정보] 191210 영국_화재감지 시스템,2019-12-10
655,프랑스,[해외입찰정보] 191210 프랑스_긴급차량,2019-12-10
656,루마니아,[해외입찰정보] 191210 루마니아_소방차량,2019-12-10
657,루마니아,[해외입찰정보] 191210 루마니아_긴급 및 안전 장비,2019-12-10
658,스웨덴,[해외입찰정보] 191210 스웨덴_동계 유지보수 차량,2019-12-10
659,프랑스,[해외입찰정보] 191210 프랑스_긴급서비스 차량,2019-12-10
660,핀란드,[해외입찰정보] 191210 핀란드_트레일러 및 이동식 컨테이너,2019-12-10
661,중국,"[해외방산시장 동향] 191125 중국, 군수용 방탄·내화 섬유 개발",2019-12-10
662,일본,"[해외방산시장 동향] 191202 일본 이마바리社, JMU社와 제휴",2019-12-10
663,독일,[해외입찰정보] 191210 독일_급수 차량,2019-12-10
664,스페인,[해외입찰정보] 191210 스페인_흡입-청소 차량,2019-12-10
665,헝가리,[해외입찰정보] 191210 헝가리_차량 및 엔진 부품과 엑세서리,2019-12-10
666,이스라엘,"[해외방산시장 동향] 191210 이스라엘 Elbit Systems社, 마이크로 드론 Magni 출시",2019-12-10
667,독일,"[해외입찰정보] 191210 독일_차체, 트레일러 및 세미 트레일러",2019-12-10
668,네덜란드,[해외입찰정보] 191210 네덜란드_구조차량,2019-12-10
669,에콰도르,"[해외방산시장 동향] 191202 에콰도르, H145M 헬기 6대 주문",2019-12-10
670,인도,"[해외방산시장 동향] 191129 인도, 32억 달러 상당 군 장비 조달 승인",2019-12-10
671,아랍에미리트,"[해외방산시장 동향] 191129 UAE MLS社, 지적재산권 보호 신청",2019-12-10
672,카자흐스탄,"[해외방산시장 동향] 191127 카자흐스탄, 2020년부터 Elbit社 UAV 생산",2019-12-10
673,인도,"[해외방산시장 동향] 191125 인도 연안경비대, 쾌속 경비정 Amrit Kaur 획득",2019-12-10
674,루마니아,[해외입찰정보] 191209 루마니아 전기자동차,2019-12-09
675,오스트리아,[해외입찰정보] 191209 오스트리아 화재진압차량,2019-12-09
676,독일,[해외입찰정보] 191209 화재진압차량,2019-12-09
677,프랑스,[해외입찰정보] 191209 프랑스 구급차량,2019-12-09
678,벨기에,[해외입찰정보] 191209 벨기에 특수목적 상용차량,2019-12-09
679,벨라루스,[해외입찰정보] 191209 벨기에 상용차량,2019-12-09
680,폴란드,[해외입찰정보] 191209 방호복,2019-12-09
681,폴란드,[해외입찰정보] 191209 폴란드 특수목적차량,2019-12-09
682,폴란드,"[해외입찰정보] 191209 소형화기, 탄약, 결합품 등",2019-12-09
683,슬로베니아,[해외입찰정보] 191209 슬로베이나_차량,2019-12-09
684,리투아니아,[해외입찰정보] 191209 리투아니아_특수차량,2019-12-09
685,스웨덴,[해외입찰정보] 191209 스웨덴_구급차량,2019-12-09
686,스웨덴,[해외입찰정보] 191209 스웨덴_폐기물 및 하수 차량,2019-12-09
687,네덜란드,[해외입찰정보] 191209 네덜란드_도로교통 관제 장비,2019-12-09
688,미국,[해외입찰정보] 191209 미국_소화기,2019-12-09
689,헝가리,[해외입찰정보] 191206 헝가리_자동차,2019-12-06
690,크로아티아,[해외입찰정보] 191206 크로아티아_유틸리티 차량,2019-12-06
691,영국,[해외입찰정보] 191206 영국_자동차,2019-12-06
692,프랑스,[해외입찰정보] 191206 프랑스_화재방호 장비,2019-12-06
693,독일,[해외입찰정보] 191206 독일_화물차용 예비부품 등,2019-12-06
694,그리스,[해외입찰정보] 191206 그리스_컴패션 차량,2019-12-06
695,루마니아,[해외입찰정보] 191206 루마니아_4륜구동 차량,2019-12-06
696,독일,[해외입찰정보] 191206 독일_하수오물차량,2019-12-06
697,루마니아,[해외입찰정보] 191206 루마니아_차량 및 엔진용 부품과 엑세서리,2019-12-06
698,스페인,[해외입찰정보] 191206 스페인_자동차,2019-12-06
699,영국,"[해외입찰정보] 191206 영국_보안, 소방, 경찰 및 군용 장비",2019-12-06
700,독일,[해외입찰정보] 191206 독일_운송장비와 보조제품 수송,2019-12-06
701,포르투갈,[해외입찰정보] 191206 포르투갈_소방차량,2019-12-06
702,미국,[해외입찰정보] 191205 미국_댐 지원 및 제방 안전 엔지니어링 등,2019-12-05
703,미국,[해외입찰정보] 191205 미국_재래식 탄약,2019-12-05
704,미국,[해외입찰정보] 191205 미국_안전바디 키트,2019-12-05
705,미국,[해외입찰정보] 191205 미국_패치 CBOC 물리보안 시스템,2019-12-05
706,미국,[해외입찰정보] 191205 미국_생명 안전 평가,2019-12-05
707,미국,[해외입찰정보] 191205 미국_안전재생 밸브,2019-12-05
708,미국,[해외입찰정보] 191205 미국_생명안전코드 검토 및 점검 서비스,2019-12-05
