연도,지역,구분,에볼라바이러스병,마버그열,라싸열,크리미안콩고출혈열,남아메리카출혈열,리프트밸리열,두창,페스트,탄저,보툴리눔독소증,야토병,중증급성호흡기증후군(SARS),중동호흡기증후군(MERS),동물인플루엔자 인체감염증,신종인플루엔자,디프테리아,수두,홍역,콜레라,장티푸스,파라티푸스,세균성이질,장출혈성대장균감염증,A형간염,백일해,유행성이하선염,풍진(선천성),풍진(후천성),폴리오,수막구균 감염증,b형헤모필루스인플루엔자,폐렴구균 감염증,한센병,성홍열,반코마이신내성황색포도알균(VRSA) 감염증,카바페넴내성장내세균목(CRE) 감염증,E형간염,파상풍,B형간염,일본뇌염,C형간염,말라리아,레지오넬라증,비브리오패혈증,발진티푸스,발진열,쯔쯔가무시증,렙토스피라증,브루셀라증,공수병,신증후군출혈열,크로이츠펠트-야콥병(CJD) 및 변종크로이츠펠트-야콥병(vCJD),황열,뎅기열,큐열,웨스트나일열,라임병,진드기매개뇌염,유비저,치쿤구니야열,중증열성혈소판감소증후군(SFTS),지카바이러스감염증,매독,매독(선천성),@엠폭스
2020,울산광역시,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,670.0,0,0.0,1.0,0.0,2.0,6.0,35.0,2,291,0.0,0.0,0.0,0.0,0.0,6.0,0.0,84.0,0,237.0,3,0.0,7.0,0.0,270.0,3,2.0,1.0,0.0,0.0,235.0,0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,
2020,경기도,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8206.0,3,0.0,11.0,13.0,8.0,131.0,1330.0,19,2952,0.0,1.0,0.0,2.0,0.0,93.0,0.0,580.0,3,3318.0,54,3.0,105.0,6.0,2150.0,227,83.0,10.0,0.0,0.0,236.0,11,1.0,0.0,35.0,18.0,0.0,13.0,11.0,0.0,1.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,
2020,강원특별자치도,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,933.0,0,0.0,1.0,3.0,0.0,6.0,95.0,0,327,0.0,0.0,0.0,0.0,0.0,16.0,0.0,53.0,0,390.0,18,1.0,15.0,1.0,238.0,12,8.0,1.0,0.0,0.0,20.0,6,0.0,0.0,26.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,
2020,충청북도,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1188.0,0,0.0,1.0,1.0,0.0,3.0,150.0,0,296,0.0,0.0,0.0,0.0,0.0,9.0,1.0,31.0,0,141.0,7,3.0,11.0,0.0,232.0,5,15.0,0.0,0.0,0.0,67.0,6,0.0,0.0,9.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,
2020,충청남도,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1170.0,0,0.0,1.0,4.0,2.0,7.0,277.0,2,458,0.0,0.0,0.0,0.0,0.0,19.0,1.0,75.0,0,304.0,5,6.0,20.0,0.0,394.0,7,10.0,9.0,0.0,0.0,371.0,13,0.0,0.0,26.0,1.0,0.0,2.0,10.0,0.0,3.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,
2020,전라북도,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1232.0,0,0.0,0.0,0.0,2.0,2.0,207.0,3,429,0.0,0.0,0.0,0.0,0.0,9.0,0.0,59.0,0,795.0,14,4.0,20.0,0.0,332.0,4,11.0,2.0,0.0,0.0,402.0,10,3.0,0.0,44.0,1.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,
2020,전라남도,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1253.0,1,0.0,0.0,5.0,2.0,12.0,66.0,21,404,0.0,0.0,0.0,0.0,1.0,11.0,1.0,100.0,0,363.0,6,2.0,17.0,0.0,882.0,1,12.0,11.0,0.0,0.0,812.0,13,3.0,0.0,49.0,1.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,
2020,경상북도,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1714.0,0,0.0,2.0,3.0,1.0,15.0,110.0,9,493,0.0,0.0,0.0,1.0,0.0,19.0,0.0,83.0,0,611.0,9,1.0,12.0,0.0,607.0,3,16.0,2.0,0.0,0.0,265.0,13,0.0,0.0,24.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,
2020,경상남도,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2985.0,1,0.0,3.0,4.0,2.0,6.0,73.0,18,810,0.0,0.0,0.0,0.0,0.0,14.0,0.0,166.0,0,1275.0,14,2.0,32.0,0.0,1333.0,4,16.0,7.0,0.0,0.0,1064.0,16,0.0,0.0,22.0,2.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,
2020,제주특별자치도,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,739.0,0,0.0,1.0,0.0,0.0,13.0,33.0,1,172,0.0,0.0,0.0,0.0,0.0,13.0,0.0,59.0,0,170.0,1,0.0,2.0,0.0,179.0,0,19.0,1.0,0.0,0.0,78.0,0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,
